PRID,HONU,HBUP,HBDE,DIAH,DIAP,HODE,SCMO,SCDR,STTY,MINA,SDTO,STPC,CLPC,PSCL,PHAQ,PHKC,ELCO,EXCA,EXMG,EXNA,EXCK,EXAL,EXAC,CECS,TOTC,TOTN,TCEQ,GYPS,BULK,WR17,WR20,WR25,WR37,WR42,LATI,LNGI,LABO,ELEV
BYBr100C,1,0,25,UM,HU,Ah,2.5/5B,3/5B,G,N,70,30,0,SL,7.6,,,,,,,0,0,47.5,45,5.5,,,0.98,,,,,,51.98,27.57,BY01,150
BYBr100C,2,25,67,,GL,Bg,10YR4/2,10YR5/2,M,N,80,20,0,SL,7.9,,,,,,,0,0,45.5,10,0.9,,,1.47,,,,,,51.98,27.57,BY01,150
BYBr100C,3,67,172,,GL,Cg,5/5BG,5/10BG,M,N,65,35,0,SL,7.9,,,,,,,0,0,10,9,0.7,,,1.58,,,,,,51.98,27.57,BY01,150
BYBr1095,1,0,25,MO,HU,Ah,10YR4/1,10YR5/1,G,N,79,21,0,LS,5.4,,,,,,,,,35.1,37,3.1,0,0,1.17,,,,,,51.88,27.02,BY03,150
BYBr1095,2,25,60,,GL,Bg,10B5/1,10B6/1,M,V,95,5,0,S,5.7,,,,,,,,,5.5,1,0.1,,0,1.61,,,,,,51.88,27.02,BY03,150
BYBr1095,3,60,200,,GL,Cg,10B6/1,10B7/1,M,N,79,21,0,LS,5.8,,,,,,,,,6.9,,,,0,1.58,,,,,,51.88,27.02,BY03,150
BYBr115,1,0,15,,,Ah,5Y4/1,5Y5/1,M,V,93,4,3,S,4.5,,0,,,,,,,29.3,22,7.9,0,0,1.25,,,,,,52.28,27.25,BY01,165
BYBr115,2,15,23,,,E,5Y6/2,5Y7/2,M,V,90,4,6,S,4.2,,0,,,,,,,2.8,5,0.5,0,0,1.31,,,,,,52.28,27.25,BY01,165
BYBr115,3,23,45,SP,GL,Bhg,10YR3/3,10YR3/4,M,V,93,3,4,S,4.7,,,,,,,,,14.6,13,0.7,0,0,1.36,,,,,,52.28,27.25,BY01,165
BYBr115,4,45,83,SP,GL,Bg,10YR6/3,10YR7/3,M,V,96,2,2,S,5.2,,,,,,,,,6.2,2,0.1,0,0,1.54,,,,,,52.28,27.25,BY01,165
BYBr115,5,83,160,,GL,Cg,6/5GY,7/5GY,M,V,96,2,2,S,5.4,,,,,,,,,6.4,1,0.4,0,0,1.64,,,,,,52.28,27.25,BY01,165
BYBr145,1,0,28,,,Ap,10YR3/2,10YR4/2,G,V,41,59,0,SIL,4.8,,,,,,,,,4.8,10,0.9,0,0,1.48,,,,,,53.32,25.78,BY01,180
BYBr145,2,28,65,AR,TO,EB,10YR5/2,10YR6/2,B,N,43,57,0,SIL,5.3,,,,,,,,,5.9,2,0.2,0,0,1.61,,,,,,53.32,25.78,BY01,180
BYBr145,3,65,105,AR,TO,B,5YR6/4,5YR7/4,P,V,57,43,0,SL,5.6,,,,,,,,,4.6,2,0.2,,0,1.86,,,,,,53.32,25.78,BY01,180
BYBr145,4,105,185,,,C,5YR4/4,5YR5/4,P,V,55,45,0,SL,5.9,,,,,,,,,4.9,,,,0,1.88,,,,,,53.32,25.78,BY01,180
BYBr15K,1,0,20,HI,FL,Hi,10YR2/2,10YR3/2,,,,,,,5.9,,,,,,,,,,,35.6,,0,0.18,,,,,,52.12,27.2,BY01,135
BYBr15K,2,20,50,HI,FL,H2w,10YR3/3,10YR4/3,,,,,,,5.7,,,,,,,,,,,30.4,,0,0.14,,,,,,52.12,27.2,BY01,135
BYBr15K,3,50,80,HI,FL,H3w,10YR2/1,10YR3/2,,,,,,,5.9,,,,,,,,,,,36.8,,0,0.19,,,,,,52.12,27.2,BY01,135
BYBr15K,4,80,90,,,Cg,10YR6/2,10YR7/2,M,N,98,2,0,S,6.2,,,,,,,,,,,,,0,1.62,,,,,,52.12,27.2,BY01,135
BYBr1K,1,0,31,,,Ap,5YY6/1,5Y7/1,B,V,68,28,4,SL,6.9,,,,,,,,,5.8,12,1,,0,1.38,,,,,,52.57,23.75,BY02,180
BYBr1K,2,31,57,,,EB,5Y7/6,5Y8/6,M,V,73,22,5,LS,5.3,,,,,,,,,2.1,2,0.2,0,0,1.64,,,,,,52.57,23.75,BY02,180
BYBr1K,3,57,185,AR,TO,BC,5Y6/6,5Y7/6,M,C,81,8,11,LS,6.4,,,,,,,,,9.1,1,0.1,,0,1.55,,,,,,52.57,23.75,BY02,180
BYBr1-2,1,0,28,,,Ap,10YR5/1,10YR6/1,M,V,55,40,5,SL,5.6,,,,,,,,,5.6,12,1,,0,1.42,,,,,,52.27,23.5,BY02,180
BYBr1-2,2,28,42,,,EB1,10YR6/2,10YR7/2,M,V,50,40,10,L,5.3,,,,,,,,,4.1,3,0.2,0,0,1.44,,,,,,52.27,23.5,BY02,180
BYBr1-2,3,42,175,AR,TO,B2,10YR5/6,10YR6/6,M,V,55,23,22,SCL,5.4,,,,,,,,,9.8,1,0.1,0,0,1.63,,,,,,52.27,23.5,BY02,180
BYBr1-4,1,0,30,,,Ap,10YR5/1,10YR6/1,G,V,66,31,3,SL,6.6,,,,,,,,,6.4,9,0.8,,0,1.48,,,,,,52.25,23.25,BY02,160
BYBr1-4,2,30,50,,,EBw,10YR5/2,10YR6/2,M,V,64,32,4,SL,6.6,,,,,,,,,2.9,1,0.1,,0,1.61,,,,,,52.25,23.25,BY02,160
BYBr1-4,3,50,62,,,Eg,10YR7/2,10YR8/2,M,F,73,23,4,SL,5.5,,,,,,,,,2.4,1,0.1,0,0,1.58,,,,,,52.25,23.25,BY02,160
BYBr1-4,4,62,187,AR,TO,B,10YR5/6,10YR6/6,M,F,62,24,14,SCL,6.4,,,,,,,,,7.5,,,,0,1.76,,,,,,52.25,23.25,BY02,160
BYBr2195,1,0,4,,,O,2.5Y3/2,2.5Y4/2,,,,,,,3.6,,0,,,,,,,28.5,463,38.3,0,0,,,,,,,52.95,25.6,BY03,175
BYBr2195,2,4,27,,,EAh,2.5Y4/1,2.5Y5/1,M,V,87,13,0,LS,3.4,,0,,,,,,,12.7,11,1,0,0,1.3,,,,,,52.95,25.6,BY03,175
BYBr2195,3,27,60,SP,HU,Bh,10YR3/3,10YR4/3,M,V,90,10,0,S,4,,0,,,,,,,8.1,13,1.2,0,0,1.36,,,,,,52.95,25.6,BY03,175
BYBr2195,4,60,190,SP,GL,Bg,2.5Y4/3,2.5Y5/3,M,V,97,3,0,S,4.4,,0,,,,,,,7.1,2,0.1,0,0,1.61,,,,,,52.95,25.6,BY03,175
BYBr25,1,0,5,,,Ah,5Y6/2,5Y7/1,M,F,66,28,6,SL,4.1,,0,,,,,,,14,21,1.8,0,0,1.1,,,,,,52.65,25.88,BY01,150
BYBr25,2,5,35,,,EBg,5Y6/3,5Y7/3,M,C,68,28,4,SL,4.5,,0,,,,,,,8.1,7,0.6,0,0,1.56,,,,,,52.65,25.88,BY01,150
BYBr25,3,35,50,,,Eg,5Y7/3,5Y7/4,M,F,83,14,3,LS,4.7,,,,,,,,,4,1,0.1,0,0,1.58,,,,,,52.65,25.88,BY01,150
BYBr25,4,50,114,AR,TO,BCg,2.5Y5/3,2.5Y5/4,M,F,68,14,18,SL,4.6,,,,,,,,,11.1,1,0.1,0,0,1.83,,,,,,52.65,25.88,BY01,150
BYBr25,5,114,200,,,Cg,2.5Y7/1,2.5Y7/2,M,M,69,13,18,S,5.7,,,,,,,,,3.9,,,,0,1.67,,,,,,52.65,25.88,BY01,150
BYBr26P,1,0,26,MO,HU,Ap,5Y3/1,5Y4/1,G,N,77,18,5,SL,5.5,,,,,,,,,9.8,14,1.2,0,0,1.38,,,,,,52.02,27.57,BY01,150
BYBr26P,2,26,55,,,AhB,5Y8/6,5Y8/4,M,N,77,18,5,SL,7.2,,,,,,,0,0,6.9,6,0.5,,,1.51,,,,,,52.02,27.57,BY01,150
BYBr26P,3,55,101,CA,CO,Bk,5Y7/2,5Y7/3,M,N,97,1,2,S,7.9,,,,,,,0,0,48.8,4,0.3,,,1.51,,,,,,52.02,27.57,BY01,150
BYBr26P,4,101,185,,,BC,5Y7/1,5Y7/2,M,N,99,1,0,S,8,,,,,,,0,0,1.5,,,,,1.62,,,,,,52.02,27.57,BY01,150
BYBr3B,1,0,30,,,Ap,10YR4/1,10YR5/1,B,V,44,45,11,L,7.1,,,,,,,0,0,10,15,1.3,,,1.37,,,,,,52.63,24.33,BY02,180
BYBr3B,2,30,45,,,EB,10YR5/3,10YR6/4,M,F,54,28,18,L,6.6,,,,,,,,,12,4,0.3,,0,1.56,,,,,,52.63,24.33,BY02,180
BYBr3B,3,45,120,AR,TO,B,5YR4/4,5YR5/4,M,F,61,23,16,SL,6.9,,,,,,,,,11.5,1,0.1,,0,1.77,,,,,,52.63,24.33,BY02,180
BYBr3B,4,120,200,,,C,5YYYR4/6,5YR5/4,M,F,63,23,14,SL,7.4,,,,,,,0,0,22.8,,,,,1.7,,,,,,52.63,24.33,BY02,180
BYBr44,1,0,25,,,Ap,10YR5/1,10YR6/1,B,V,53,41,6,SL,5.9,,,,,,,,,4.7,16,1.4,,0,1.46,,,,,,52.12,23.97,BY02,160
BYBr44,2,25,43,,,EB,10YR7/3,10YR8/3,M,V,85,12,3,LS,5.6,,,,,,,,,3.3,2,0.2,,0,1.61,,,,,,52.12,23.97,BY02,160
BYBr44,3,43,170,AR,TO,BCg,5/10BG,6/10BG,M,V,54,28,18,L,6.2,,,,,,,,,11.6,1,0.1,,0,1.81,,,,,,52.12,23.97,BY02,160
BYBr557,1,0,3,,,O,2.5Y3/2,2.5Y4/2,,,,,,,4.4,,0,,,,,,,27,540,41.5,0,0,,,,,,,52.33,25.75,BY03,95
BYBr557,2,3,24,,,Ah,2.5Y4/1,2.5Y5/1,M,V,84,16,0,LS,4.4,,0,,,,,,,12.3,11,1,0,0,1.34,,,,,,52.33,25.75,BY03,95
BYBr557,3,24,57,,,EBg,2.5Y7/2,2.5Y7/3,M,V,94,6,0,S,4.8,,,,,,,,,9.7,1,0.1,0,0,1.44,,,,,,52.33,25.75,BY03,95
BYBr557,4,57,180,AR,TO,CBg,2.5Y6/3,2.5Y6/4,M,V,96,4,0,S,5.3,,,,,,,,,7.2,,,0,0,1.64,,,,,,52.33,25.75,BY03,95
BYBr5-2,1,0,30,,,Ap,5Y5/1,5Y6/1,B,V,75,20,5,LS,6.2,,,,,,,,,4.3,10,0.9,,0,1.52,,,,,,51.9,23.9,BY02,160
BYBr5-2,2,30,45,,,EB,5Y6/3,5Y7/3,M,V,80,16,4,LS,6.1,,,,,,,,,1.1,2,0.1,,0,1.77,,,,,,51.9,23.9,BY02,160
BYBr5-2,3,45,85,AR,TO,B,5Y6/6,5Y7/6,M,V,92,5,3,S,5.8,,,,,,,,,0.8,2,0.2,,0,1.76,,,,,,51.9,23.9,BY02,160
BYBr5-2,4,85,200,,,BCg,5Y8/4,5Y8/6,M,V,93,5,2,S,5.6,,,,,,,,,0.6,,,,0,1.72,,,,,,51.9,23.9,BY02,160
BYBr60,1,0,20,UM,HU,Ah,10YR4/1,10YR5/1,G,N,54,46,0,SL,6,,,,,,,,,16,28,2,,0,1.21,,,,,,52.55,25.15,BY01,180
BYBr60,2,20,57,,GL,Bg,10YR7/3,10YR7/2,M,N,89,11,0,S,6.2,,,,,,,,,7.9,13,1.2,,0,1.48,,,,,,52.55,25.15,BY01,180
BYBr60,3,57,87,,GL,Cg,5/10BG,6/10BG,M,N,95,5,0,S,6.5,,,,,,,,,2.6,,,,0,1.71,,,,,,52.55,25.15,BY01,180
BYBr60C,1,0,2,HI,OR,Ow,10YR3/2,10YR3/3,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,52.1,26.83,BY03,135
BYBr60C,2,2,40,HI,OR,H1w,10YR2/1,10YR3/1,,,,,,,5.6,,,,,,,,,,,36.7,,0,0.16,,,,,,52.1,26.83,BY03,135
BYBr60C,3,40,75,HI,OR,H2w,10YR2/2,10YR3/2,,,,,,,5.5,,,,,,,,,,,35.4,0,0,0.14,,,,,,52.1,26.83,BY03,135
BYBr60C,4,75,200,,GL,Cg,6/5GY,7/5GY,M,N,97,3,0,S,6.2,,,,,,,,,,,,,0,1.64,,,,,,52.1,26.83,BY03,135
BYBr7-7,1,0,28,HI,OR,Hp,10YR2/2,10YR3/2,B,,,,,,5.2,,,,,,,,,107.4,477,28.6,0,0,0.23,,,,,,51.58,24,BY02,170
BYBr7-7,2,28,56,HI,OR,H1,10YR3/3,10YR3/4,R,,,,,,5.4,,,,,,,,,111.8,551,31.4,0,0,0.18,,,,,,51.58,24,BY02,170
BYBr7-7,3,56,88,HI,OR,H2w,7.5YR2.5/2,7.5YR3/2,M,,,,,,5.6,,,,,,,,,107,553,32.6,,0,0.18,,,,,,51.58,24,BY02,170
BYBr7-7,4,88,156,,GL,Cg,10YR7/1,10YR7/2,M,V,92,8,0,S,5.7,,,,,,,,,11.7,3,,,0,1.64,,,,,,51.58,24,BY02,170
BYBr85,1,0,27,UM,HU,Apk,10YR3/1,10YR4/1,G,V,88,12,0,S,8.1,,,,,,,0,0,35.2,22,2.5,,,1.54,,,,,,52.17,24.23,BY02,155
BYBr85,2,27,74,,GL,Bgk,10YR3/4,10YR4/4,G,V,90,10,0,S,8.4,,,,,,,0,0,8.2,14,0.4,,,1.61,,,,,,52.17,24.23,BY02,155
BYBr85,3,74,160,,GL,Cgk,5Y5/3,5Y5/2,M,V,94,6,0,S,8.4,,,,,,,0,0,8,2,0.2,,,1.71,,,,,,52.17,24.23,BY02,155
BYBr87,1,0,26,MO,HU,Ap,10YR3/1,10YR4/1,G,N,28,58,14,SIL,5.5,,,,,,,,,6.8,22,1.9,0,0,1.44,,,,,,51.85,26.82,BY01,150
BYBr87,2,26,45,OC,HU,AR,10YR5/2,10YR6/2,G,N,27,54,19,SIL,5.7,,,,,,,,,6.2,11,0.9,,0,1.51,,,,,,51.85,26.82,BY01,150
BYBr87,3,45,66,OC,HU,Bhw,10YR4/2,10YR5/2,G,N,28,47,25,L,6.6,,,,,,,,,5,4,0.3,,0,1.51,,,,,,51.85,26.82,BY01,150
BYBr87,4,66,190,CA,CO,Ck,10YR6/6,10YR7/6,M,M,98,1,1,S,7.8,,,,,,,0,0,,,,,,1.71,,,,,,51.85,26.82,BY01,150
BYBr907,1,0,2,,,O,10YR4/3,10YR5/3,M,N,,,,,5.4,,,,,,,,,54,514,38.6,0,0,,,,,,,53.22,25.77,BY03,200
BYBr907,2,2,20,UM,HU,Ah,10YR3/1,10YR4/2.5,M,V,87,13,0,S,5.2,,,,,,,,,10.1,22,2,0,0,1.22,,,,,,53.22,25.77,BY03,200
BYBr907,3,20,48,,GL,Bg,10B5/1,10B6/1,M,N,90,10,0,S,4.7,,,,,,,,,5.4,1,,0,0,1.51,,,,,,53.22,25.77,BY03,200
BYBr907,4,48,150,,GL,Cg,10B6/1,10B7/1,M,V,83,17,0,LS,4.9,,,,,,,,,3.7,,,0,0,1.73,,,,,,53.22,25.77,BY03,200
BYC77,1,0,80,,FL,Ah,10YR4/1,10YR5/1,G,N,35,65,0,SIL,7.4,,,,,,,0,0,24,21,1.8,,,0.98,,,,,,53.78,31.75,BY01,200
BYC77,2,80,150,,FL,BCg,6/10Y,7/10Y,M,N,94,6,0,S,7.3,,,,,,,0,0,12.9,8,0.9,,,1.57,,,,,,53.78,31.75,BY01,200
BYGm101,1,0,23,,,AhE,2.5Y5/1,2.5Y6/1,M,N,91,9,0,S,4.8,,,,,,,,,6.5,9,0.8,0,0,1.4,,,,,,52.15,31.22,BY03,165
BYGm101,2,23,62,SP,FI,B,2.5Y7/6,2.5Y8/6,M,N,96,4,0,S,5.1,,,,,,,,,2.7,1,0.1,0,0,1.57,,,,,,52.15,31.22,BY03,165
BYGm101,3,62,200,,GL,BCg,5/10BG,6/10BG,M,N,96,4,0,S,6.1,,,,,,,,,1.8,,,,0,1.66,,,,,,52.15,31.22,BY03,165
BYGm1073,1,0,15,,,AhE,2.5Y5/1,2.5Y6/1,M,N,79,21,0,LS,4.9,,,,,,,,,7,10,0.8,0,0,1.5,,,,,,52.92,31.27,BY03,120
BYGm1073,2,15,100,AR,TO,B,2.5Y7/6,2.5Y8/6,M,N,84,16,0,LS,4.8,,,,,,,,,1.1,3,0.3,0,0,1.72,,,,,,52.92,31.27,BY03,120
BYGm1073,3,100,200,,,BCg,2.5Y6/4,2.5Y6/3,M,N,91,9,0,S,4.7,,,,,,,,,4.3,,,0,0,1.59,,,,,,52.92,31.27,BY03,120
BYGm15,1,0,24,,,OAh,2.5Y4/1,2.5Y5/1,M,N,72,28,0,LS,4.5,,0,,,,,,,3.5,5,0.4,0,0,1.57,,,,,,52.2,31.23,BY03,160
BYGm15,2,24,36,,,EB,2.5Y7/4,2.5Y8/4,M,N,68,32,0,LS,4.9,,,,,,,,,4.8,3,0.3,0,0,1.65,,,,,,52.2,31.23,BY03,160
BYGm15,3,36,108,AR,TO,B,2.5Y5/4,2.5Y6/4,M,N,86,14,0,S,4.8,,,,,,,,,1.2,,,0,0,1.69,,,,,,52.2,31.23,BY03,160
BYGm15,4,108,200,,,BC,10YR7/6,10YR8/6,M,N,95,5,0,S,4.9,,,,,,,,,10.8,,,0,0,1.61,,,,,,52.2,31.23,BY03,160
BYGm259,1,0,21,UM,HU,OAh,10YR3/1,10YR4/1,G,N,84,16,0,LS,5.9,,,,,,,,,23.9,28,2.3,,0,1.08,,,,,,52.5,29.33,BY03,145
BYGm259,2,21,76,,GL,Bg,10YR7/3,10YR7/2,M,N,94,6,0,S,6.5,,,,,,,,,3.6,2,0.1,,0,1.59,,,,,,52.5,29.33,BY03,145
BYGm259,3,76,200,,GL,BCg,5/10BG,6/10BG,M,N,95,5,0,S,6.7,,,,,,,,,3.2,,,,0,1.61,,,,,,52.5,29.33,BY03,145
BYGm29/L,1,0,25,,,Ap,10YR5/1,10YR6/1,B,N,36,64,0,SIL,5.7,,,,,,,,,11.7,11,0.9,,0,1.34,,,,,,52.68,31.2,BY01,170
BYGm29/L,2,25,35,,,E,10YR7/3,10YR7/2,M,N,65,35,0,,4.5,,0,,,,,,,9.7,2,0.2,0,0,1.52,,,,,,52.68,31.2,BY01,170
BYGm29/L,3,35,120,AR,TO,B,10YR6/6,10YR7/6,M,N,81,19,0,LS,4.8,,,,,,,,,3.4,1,0.1,0,0,1.68,,,,,,52.68,31.2,BY01,170
BYGm29/L,4,120,200,,,BCg,2.5Y7/2,2.5Y8/2,M,N,88,12,0,S,5.3,,,,,,,,,4.4,,,0,0,1.59,,,,,,52.68,31.2,BY01,170
BYGm329,1,0,26,UM,HU,OAh,10YR3/1,10YR4/1,B,N,81,19,0,LS,6.6,,,,,,,,,10.9,22,1.8,,0,1.14,,,,,,53.12,30.78,BY03,160
BYGm329,2,26,87,,GL,Bgw,10YR6/4,10YR7/4,M,N,92,8,0,S,6.6,,,,,,,,,1.1,,,,0,1.59,,,,,,53.12,30.78,BY03,160
BYGm329,3,87,150,,GL,BCg,5/10BG,6/10BG,M,N,94,6,0,S,6.9,,,,,,,,,1.9,,,,0,1.57,,,,,,53.12,30.78,BY03,160
BYGm54,1,0,23,,,Ap,10YR4/1,10YR5/1,B,N,31,60,9,SIL,4.7,,,,,,,,,5.1,8,0.7,0,0,1.32,,,,,,51.63,30.45,BY02,110
BYGm54,2,23,40,,,EB,10YR6/2,10YR7/2,M,N,36,58,6,SIL,5.1,,,,,,,,,4.8,2,0.2,0,0,1.49,,,,,,51.63,30.45,BY02,110
BYGm54,3,40,97,AR,TO,B,5YR5/6,5YR6/6,S,N,31,58,11,SIL,5.7,,,,,,,,,5.6,1,0.1,,0,1.68,,,,,,51.63,30.45,BY02,110
BYGm54,4,97,190,,,BC,5YR4/4,5YR5/4,S,N,62,36,2,SL,6.8,,,,,,,,,4,,,,0,1.76,,,,,,51.63,30.45,BY02,110
BYGm714,1,0,19,,,Ah,10YR4/1,10YR5/1,B,N,79,21,0,LS,4.5,,0,,,,,,,1.9,7,0.6,0,0,1.39,,,,,,52.95,31.13,BY03,120
BYGm714,2,19,35,,,EB,10YR7/3,10YR7/2,M,N,74,26,0,LS,4.4,,0,,,,,,,1,3,0.3,0,0,1.81,,,,,,52.95,31.13,BY03,120
BYGm714,3,35,60,AR,TO,Bg,2.5Y6/2,2.5Y7/2,M,V,50,50,0,SL,5.1,,,,,,,,,2,,,0,0,1.81,,,,,,52.95,31.13,BY03,120
BYGm714,4,60,200,,,BC,5YR4/4,5YR5/4,S,V,64,36,0,SL,5.2,,,,,,,,,4.6,,,0,0,1.79,,,,,,52.95,31.13,BY03,120
BYGr13/C,1,0,31,UM,HU,Ah,2.5/10Y,3/10Y,B,V,70,30,0,SL,6.1,,,,,,,,,9.2,20,1.7,,0,1.12,,,,,,53.15,25.45,BY01,160
BYGr13/C,2,31,84,,GL,Bg,5/10Y,6/10Y,M,V,79,21,0,LS,6.4,,,,,,,,,7.7,4,0.3,,0,1.52,,,,,,53.15,25.45,BY01,160
BYGr13/C,3,84,135,,GL,BCg,7/5GY,7/10GY,M,V,63,37,0,SL,6.6,,,,,,,,,12.2,,,,0,1.74,,,,,,53.15,25.45,BY01,160
BYGr154,1,0,21,,,Ap,10YR6/1,10YR7/1,B,V,30,70,0,SIL,4.8,,,,,,,,,7.6,10,0.9,0,0,1.36,,,,,,53.7,23.87,BY02,200
BYGr154,2,21,37,,,E,10YR7/3,10YR8/3,M,N,30,70,0,SIL,5.4,,,,,,,,,4.9,4,0.3,0,0,1.42,,,,,,53.7,23.87,BY02,200
BYGr154,3,37,190,AR,TO,BC,5YR5/4,5YR6/4,S,F,65,35,0,SL,6.6,,,,,,,,,6.3,2,0.2,,0,1.77,,,,,,53.7,23.87,BY02,200
BYGr155,1,0,5,,,O,10YR3/1,10YR4/1,R,,,,,,,,0,,,,,,,,,,0,0,0.39,,,,,,53.65,24.05,BY02,150
BYGr155,2,5,16,,,EAh,10YR4/2,10YR5/2,B,V,73,27,0,SL,5,,,,,,,,,14.7,28,2.4,0,0,1.21,,,,,,53.65,24.05,BY02,150
BYGr155,3,16,110,SP,GL,Cg,5/10BG,6/10BG,S,F,65,35,0,SL,5.4,,,,,,,,,11.2,2,0.2,0,0,1.67,,,,,,53.65,24.05,BY02,150
BYGr162A/3,1,0,28,,,Ap,10YR5/1,10YR6/1,B,V,73,20,7,SL,5.9,,,,,,,,,6.3,9,0.8,,0,1.41,,,,,,53.27,24.97,BY02,180
BYGr162A/3,2,28,63,,,EB,10YR7/3,10YR8/3,M,V,77,19,4,SL,6,,,,,,,,,2.4,3,0.3,,0,1.65,,,,,,53.27,24.97,BY02,180
BYGr162A/3,3,63,88,AR,TO,B,10YR6/3,10YR7/3,M,V,75,21,4,SL,5.5,,,,,,,,,7.4,1,0.1,0,0,1.72,,,,,,53.27,24.97,BY02,180
BYGr162A/3,4,88,200,,,BCw,5YR5/4,5YR6/4,S,F,59,37,4,SL,6.3,,,,,,,,,7.4,1,0.1,,0,1.69,,,,,,53.27,24.97,BY02,180
BYGr162/C,1,0,25,UM,HU,Ah,2.510Y,3/10Y,M,V,91,9,0,S,6.6,,,,,,,,,6.7,31,2.6,,0,1.21,,,,,,53.05,24.01,BY01,185
BYGr162/C,2,25,49,,GL,BIgw,7/5GY,8/5GY,M,V,97,3,0,S,6.7,,,,,,,,,8.5,3,0.3,,0,1.4,,,,,,53.05,24.01,BY01,185
BYGr162/C,3,49,118,,GL,BCgk,7/10GY,8/10GY,M,,97,3,0,S,7.6,,,,,,,0,0,,,,,,1.76,,,,,,53.05,24.01,BY01,185
BYGr18/B,1,0,25,,,Ap,10YR4/1,10YR5/1,M,V,72,28,0,LS,5.1,,,,,,,,,5.6,8,0.7,0,0,1.36,,,,,,53.85,25.12,BY01,180
BYGr18/B,2,25,61,,,EB,10YR7/6,10YR8/6,M,V,78,22,0,LS,5.2,,,,,,,,,2.7,2,0.2,0,0,1.6,,,,,,53.85,25.12,BY01,180
BYGr18/B,3,61,121,AR,TO,Bg,10YR7/4,10YR8/4,M,N,86,14,0,S,5,,,,,,,,,5.9,,,0,0,1.82,,,,,,53.85,25.12,BY01,180
BYGr1/M,1,0,27,,,Ap,10YR6/1,10YR 7/1,M,F,79,21,0,LS,4.8,,,,,,,,,6.7,14,1.2,0,0,1.36,,,,,,53.95,25.12,BY02,180
BYGr1/M,2,27,55,,,EB,10YR4/4,10YR5/4,M,F,82,18,0,LS,4.9,,,,,,,,,1.9,3,0.2,0,0,1.61,,,,,,53.95,25.12,BY02,180
BYGr1/M,3,55,188,AR,TO,BC,5YR4/4,5YR5/4,S,F,63,37,0,SL,5.2,,,,,,,,,9.7,3,0.2,0,0,1.72,,,,,,53.95,25.12,BY02,180
BYGr238,1,0,18,,,Ap,2.5Y5/1,2.5Y6/1,M,V,85,15,0,LS,4.6,,,,,,,,,5.3,9,0.8,0,0,1.57,,,,,,53.33,23.96,BY02,150
BYGr238,2,18,44,,,EB,2.5Y6/4,2.5Y7/4,M,N,88,12,0,S,5.2,,,,,,,,,3.2,2,0.2,0,0,1.64,,,,,,53.33,23.96,BY02,150
BYGr238,3,44,220,AR,TO,BC,2.5Y7/4,2.5Y8/4,M,N,88,12,0,S,5.5,,,,,,,,,4.4,2,0.2,0,0,1.73,,,,,,53.33,23.96,BY02,150
BYGr256/H,1,0,23,,,Ap,10YR6/1,10YR7/1,B,F,50,44,6,L,4.7,,,,,,,,,5.1,12,1.1,0,0,1.44,,,,,,53.48,25.68,BY01,250
BYGr256/H,2,23,42,,,E,10YR6/2,10YR7/2,M,F,51,45,4,L,4.5,,0,,,,,,,1.3,2,0.1,0,0,1.51,,,,,,53.48,25.68,BY01,250
BYGr256/H,3,42,80,AR,TO,EB,5YR5/3,5YR6/3,M,F,61,31,8,SL,4.5,,0,,,,,,,3,2,0.2,0,0,1.78,,,,,,53.48,25.68,BY01,250
BYGr256/H,4,80,210,,,BC,5YR5/4,5YR6/4,S,F,56,31,13,SL,4.7,,,,,,,,,8.7,1,0.1,0,0,1.79,,,,,,53.48,25.68,BY01,250
BYGr296,1,0,21,,,Ap,2.5Y6/2,2.5Y7/2,M,V,77,23,0,LS,4.9,,,,,,,,,7.3,13,1.1,0,0,1.52,,,,,,53.52,25.35,BY02,145
BYGr296,2,21,48,,,EB,2.5Y7/3,2.5Y7/4,M,V,80,20,0,LS,5.2,,,,,,,,,2.8,3,0.3,0,0,1.63,,,,,,53.52,25.35,BY02,145
BYGr296,3,48,165,AR,TO,BCg,6/5B,7/5B,M,N,93,7,0,S,5.3,,,,,,,,,2.8,1,0.1,0,0,1.76,,,,,,53.52,25.35,BY02,145
BYGr4/OC,1,0,27,,,Ap,10YR5/1,10YR6/1,B,V,71,21,8,SL,6.1,,,,,,,,,7.4,13,1,,0,1.38,,,,,,54.2,26.05,BY02,290
BYGr4/OC,2,27,55,,,E,10YR7/3,10YR8/3,M,V,75,21,4,SL,6.5,,,,,,,,,2.7,4,0.3,,0,1.6,,,,,,54.2,26.05,BY02,290
BYGr4/OC,3,55,70,AR,TO,EB,10YR6/3,10YR7/3,M,V,73,23,4,SL,5.6,,,,,,,,,7.3,1,0.1,,0,1.61,,,,,,54.2,26.05,BY02,290
BYGr4/OC,4,70,205,AR,,BC,5YR5/4,5YR6/4,S,F,54,42,4,SL,6.8,,,,,,,,,15.8,,,,0,1.74,,,,,,54.2,26.05,BY02,290
BYGr6,1,0,25,,,Ap,10YR5/1,10YR6/1,B,V,49,46,5,L,6.7,,,,,,,,,12.8,15,1.3,,0,1.42,,,,,,53.72,23.62,BY01,215
BYGr6,2,25,43,,,EB,10YR6/2,10YR7/2,M,V,50,46,4,L,6.5,,,,,,,,,3,2,0.1,,0,1.53,,,,,,53.72,23.62,BY01,215
